Datetime,Open,High,Low,Close,Volume,OI,Date,Time
2024-12-06 09:15:00+05:30,1669.9,1685.6,1668.0,1683.1,24472,0,2024-12-06,09:15:00
2024-12-06 09:20:00+05:30,1682.9,1687.85,1681.7,1687.5,19285,0,2024-12-06,09:20:00
2024-12-06 09:25:00+05:30,1687.0,1687.85,1682.0,1686.9,13845,0,2024-12-06,09:25:00
2024-12-06 09:30:00+05:30,1686.65,1689.45,1685.65,1688.75,14781,0,2024-12-06,09:30:00
2024-12-06 09:35:00+05:30,1688.75,1689.25,1685.05,1685.55,8353,0,2024-12-06,09:35:00
2024-12-06 09:40:00+05:30,1685.55,1686.0,1682.25,1682.95,7961,0,2024-12-06,09:40:00
2024-12-06 09:45:00+05:30,1682.4,1685.25,1680.05,1683.8,8814,0,2024-12-06,09:45:00
2024-12-06 09:50:00+05:30,1683.9,1686.05,1681.05,1683.55,4695,0,2024-12-06,09:50:00
2024-12-06 09:55:00+05:30,1683.6,1684.0,1677.6,1680.15,11145,0,2024-12-06,09:55:00
2024-12-06 10:00:00+05:30,1679.7,1684.6,1678.0,1684.6,4607,0,2024-12-06,10:00:00
2024-12-06 10:05:00+05:30,1684.85,1685.1,1674.1,1678.15,11691,0,2024-12-06,10:05:00
2024-12-06 10:10:00+05:30,1678.15,1681.7,1678.15,1678.8,6036,0,2024-12-06,10:10:00
2024-12-06 10:15:00+05:30,1678.8,1680.0,1672.55,1672.55,9298,0,2024-12-06,10:15:00
2024-12-06 10:20:00+05:30,1672.55,1680.0,1672.15,1675.55,8669,0,2024-12-06,10:20:00
2024-12-06 10:25:00+05:30,1676.2,1678.15,1675.05,1677.1,3307,0,2024-12-06,10:25:00
2024-12-06 10:30:00+05:30,1677.1,1677.85,1675.5,1677.05,3217,0,2024-12-06,10:30:00
2024-12-06 10:35:00+05:30,1677.8,1682.3,1675.55,1682.3,6123,0,2024-12-06,10:35:00
2024-12-06 10:40:00+05:30,1681.5,1683.8,1679.1,1682.05,3856,0,2024-12-06,10:40:00
2024-12-06 10:45:00+05:30,1682.05,1682.4,1680.55,1681.95,3869,0,2024-12-06,10:45:00
2024-12-06 10:50:00+05:30,1681.95,1683.45,1681.05,1682.7,3023,0,2024-12-06,10:50:00
2024-12-06 10:55:00+05:30,1682.7,1684.95,1677.0,1678.5,9325,0,2024-12-06,10:55:00
2024-12-06 11:00:00+05:30,1678.5,1678.5,1672.6,1673.0,12010,0,2024-12-06,11:00:00
2024-12-06 11:05:00+05:30,1673.05,1676.65,1672.65,1675.5,11468,0,2024-12-06,11:05:00
2024-12-06 11:10:00+05:30,1675.5,1675.85,1670.25,1672.95,14746,0,2024-12-06,11:10:00
2024-12-06 11:15:00+05:30,1672.85,1672.85,1670.0,1671.7,9680,0,2024-12-06,11:15:00
2024-12-06 11:20:00+05:30,1671.6,1672.2,1670.0,1670.5,7542,0,2024-12-06,11:20:00
2024-12-06 11:25:00+05:30,1670.7,1671.1,1668.8,1669.95,9042,0,2024-12-06,11:25:00
2024-12-06 11:30:00+05:30,1669.7,1669.95,1666.8,1667.7,8324,0,2024-12-06,11:30:00
2024-12-06 11:35:00+05:30,1667.7,1669.5,1666.5,1667.4,10701,0,2024-12-06,11:35:00
2024-12-06 11:40:00+05:30,1667.4,1668.1,1665.55,1666.25,10665,0,2024-12-06,11:40:00
2024-12-06 11:45:00+05:30,1666.25,1666.8,1664.2,1664.3,10624,0,2024-12-06,11:45:00
2024-12-06 11:50:00+05:30,1664.3,1665.05,1663.0,1663.75,7799,0,2024-12-06,11:50:00
2024-12-06 11:55:00+05:30,1663.75,1665.0,1663.4,1664.8,10798,0,2024-12-06,11:55:00
2024-12-06 12:00:00+05:30,1664.8,1666.7,1664.25,1666.1,8874,0,2024-12-06,12:00:00
2024-12-06 12:05:00+05:30,1666.1,1668.0,1663.0,1667.55,17750,0,2024-12-06,12:05:00
2024-12-06 12:10:00+05:30,1667.55,1677.45,1667.1,1672.1,25106,0,2024-12-06,12:10:00
2024-12-06 12:15:00+05:30,1672.1,1674.1,1670.95,1673.45,12458,0,2024-12-06,12:15:00
2024-12-06 12:20:00+05:30,1673.45,1682.1,1672.7,1682.1,17798,0,2024-12-06,12:20:00
2024-12-06 12:25:00+05:30,1682.1,1684.95,1681.55,1683.1,15689,0,2024-12-06,12:25:00
2024-12-06 12:30:00+05:30,1684.3,1696.95,1682.6,1696.95,45747,0,2024-12-06,12:30:00
2024-12-06 12:35:00+05:30,1696.9,1701.5,1695.45,1700.8,42465,0,2024-12-06,12:35:00
2024-12-06 12:40:00+05:30,1700.8,1706.9,1698.25,1706.9,43911,0,2024-12-06,12:40:00
2024-12-06 12:45:00+05:30,1707.0,1709.75,1705.8,1709.2,37693,0,2024-12-06,12:45:00
2024-12-06 12:50:00+05:30,1709.2,1711.95,1702.05,1702.4,31049,0,2024-12-06,12:50:00
2024-12-06 12:55:00+05:30,1702.4,1703.45,1697.0,1697.0,32046,0,2024-12-06,12:55:00
2024-12-06 13:00:00+05:30,1697.2,1700.0,1695.2,1695.45,13909,0,2024-12-06,13:00:00
2024-12-06 13:05:00+05:30,1695.45,1698.5,1693.85,1697.05,14120,0,2024-12-06,13:05:00
2024-12-06 13:10:00+05:30,1697.05,1698.95,1695.3,1697.25,5655,0,2024-12-06,13:10:00
2024-12-06 13:15:00+05:30,1697.5,1698.75,1695.9,1696.5,4198,0,2024-12-06,13:15:00
2024-12-06 13:20:00+05:30,1696.5,1708.9,1696.5,1708.65,17324,0,2024-12-06,13:20:00
2024-12-06 13:25:00+05:30,1707.9,1709.45,1706.3,1707.3,18253,0,2024-12-06,13:25:00
2024-12-06 13:30:00+05:30,1707.3,1710.0,1706.65,1707.75,11883,0,2024-12-06,13:30:00
2024-12-06 13:35:00+05:30,1707.75,1711.95,1707.25,1708.6,15867,0,2024-12-06,13:35:00
2024-12-06 13:40:00+05:30,1708.6,1708.95,1705.75,1708.0,8099,0,2024-12-06,13:40:00
2024-12-06 13:45:00+05:30,1708.0,1708.25,1705.0,1706.9,10986,0,2024-12-06,13:45:00
2024-12-06 13:50:00+05:30,1707.2,1711.9,1706.3,1711.65,12701,0,2024-12-06,13:50:00
2024-12-06 13:55:00+05:30,1711.6,1712.0,1708.7,1709.9,10980,0,2024-12-06,13:55:00
2024-12-06 14:00:00+05:30,1709.9,1716.8,1708.65,1715.05,28962,0,2024-12-06,14:00:00
2024-12-06 14:05:00+05:30,1715.0,1717.85,1713.0,1715.25,16871,0,2024-12-06,14:05:00
2024-12-06 14:10:00+05:30,1715.25,1716.5,1714.55,1716.5,12646,0,2024-12-06,14:10:00
