Datetime,Open,High,Low,Close,Volume,OI,Date,Time
2025-01-15 09:15:00+05:30,1635.0,1646.75,1635.0,1641.65,3836,0,2025-01-15,09:15:00
2025-01-15 09:16:00+05:30,1641.65,1643.15,1640.0,1640.4,1958,0,2025-01-15,09:16:00
2025-01-15 09:17:00+05:30,1640.4,1640.4,1635.65,1635.65,1408,0,2025-01-15,09:17:00
2025-01-15 09:18:00+05:30,1636.4,1636.4,1630.0,1630.0,4056,0,2025-01-15,09:18:00
2025-01-15 09:19:00+05:30,1630.0,1630.1,1624.75,1626.5,3301,0,2025-01-15,09:19:00
2025-01-15 09:20:00+05:30,1626.5,1629.35,1625.55,1628.75,1498,0,2025-01-15,09:20:00
2025-01-15 09:21:00+05:30,1628.75,1628.75,1625.0,1626.2,686,0,2025-01-15,09:21:00
2025-01-15 09:22:00+05:30,1626.2,1627.95,1624.6,1627.85,1098,0,2025-01-15,09:22:00
2025-01-15 09:23:00+05:30,1627.85,1630.9,1627.85,1628.0,437,0,2025-01-15,09:23:00
2025-01-15 09:24:00+05:30,1628.0,1630.55,1626.0,1628.25,2818,0,2025-01-15,09:24:00
2025-01-15 09:25:00+05:30,1628.25,1630.15,1626.2,1627.55,2945,0,2025-01-15,09:25:00
2025-01-15 09:26:00+05:30,1627.55,1630.0,1625.25,1625.85,3361,0,2025-01-15,09:26:00
2025-01-15 09:27:00+05:30,1625.85,1626.7,1622.0,1622.95,5247,0,2025-01-15,09:27:00
2025-01-15 09:28:00+05:30,1622.95,1626.55,1622.9,1623.8,2273,0,2025-01-15,09:28:00
2025-01-15 09:29:00+05:30,1623.8,1624.7,1619.05,1619.05,2334,0,2025-01-15,09:29:00
2025-01-15 09:30:00+05:30,1619.0,1622.45,1619.0,1621.4,2437,0,2025-01-15,09:30:00
2025-01-15 09:31:00+05:30,1619.95,1621.4,1616.6,1618.65,6361,0,2025-01-15,09:31:00
2025-01-15 09:32:00+05:30,1618.65,1621.05,1618.1,1620.85,1782,0,2025-01-15,09:32:00
2025-01-15 09:33:00+05:30,1620.85,1621.05,1618.0,1620.9,1914,0,2025-01-15,09:33:00
2025-01-15 09:34:00+05:30,1620.9,1621.05,1619.05,1619.05,483,0,2025-01-15,09:34:00
2025-01-15 09:35:00+05:30,1619.0,1619.65,1615.85,1615.85,1518,0,2025-01-15,09:35:00
2025-01-15 09:36:00+05:30,1616.45,1618.45,1615.2,1616.95,1409,0,2025-01-15,09:36:00
2025-01-15 09:37:00+05:30,1616.95,1617.2,1615.2,1615.2,479,0,2025-01-15,09:37:00
2025-01-15 09:38:00+05:30,1615.2,1616.45,1614.15,1614.15,829,0,2025-01-15,09:38:00
2025-01-15 09:39:00+05:30,1615.35,1616.5,1614.55,1615.5,1458,0,2025-01-15,09:39:00
2025-01-15 09:40:00+05:30,1615.5,1620.35,1615.05,1620.25,2181,0,2025-01-15,09:40:00
2025-01-15 09:41:00+05:30,1620.1,1620.1,1615.3,1615.9,1461,0,2025-01-15,09:41:00
2025-01-15 09:42:00+05:30,1615.9,1619.95,1615.9,1619.55,1898,0,2025-01-15,09:42:00
2025-01-15 09:43:00+05:30,1619.55,1622.45,1618.9,1621.6,1958,0,2025-01-15,09:43:00
2025-01-15 09:44:00+05:30,1621.6,1621.95,1618.6,1619.6,2374,0,2025-01-15,09:44:00
2025-01-15 09:45:00+05:30,1619.5,1619.95,1617.55,1617.55,2264,0,2025-01-15,09:45:00
2025-01-15 09:46:00+05:30,1618.55,1621.7,1618.55,1621.5,970,0,2025-01-15,09:46:00
2025-01-15 09:47:00+05:30,1621.5,1621.5,1619.3,1619.65,386,0,2025-01-15,09:47:00
2025-01-15 09:48:00+05:30,1619.65,1621.2,1618.0,1620.35,2337,0,2025-01-15,09:48:00
2025-01-15 09:49:00+05:30,1620.35,1622.05,1619.65,1620.8,912,0,2025-01-15,09:49:00
2025-01-15 09:50:00+05:30,1620.8,1620.9,1619.65,1620.9,1088,0,2025-01-15,09:50:00
2025-01-15 09:51:00+05:30,1621.5,1622.6,1617.5,1617.85,1713,0,2025-01-15,09:51:00
2025-01-15 09:52:00+05:30,1617.85,1619.3,1616.9,1617.05,997,0,2025-01-15,09:52:00
2025-01-15 09:53:00+05:30,1617.05,1617.05,1616.0,1616.85,391,0,2025-01-15,09:53:00
2025-01-15 09:54:00+05:30,1616.85,1621.8,1616.8,1621.35,8888,0,2025-01-15,09:54:00
